neg,neu,pos,compound
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.926,0.074,0.25
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.962,0.038,0.25
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.833,0.167,0.25
0.0,0.833,0.167,0.25
0.051,0.949,0.0,-0.25
0.0,0.965,0.035,0.3612
0.0,1.0,0.0,0.0
0.038,0.923,0.038,0.0
0.0,0.818,0.182,0.25
0.044,0.956,0.0,-0.25
0.045,0.955,0.0,-0.25
0.0,0.96,0.04,0.25
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.2,0.8,0.0,-0.4588
0.0,0.961,0.039,0.25
0.0,1.0,0.0,0.0
0.0,0.959,0.041,0.25
0.045,0.955,0.0,-0.25
0.0,0.951,0.049,0.25
0.04,0.96,0.0,-0.25
0.182,0.818,0.0,-0.4588
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.04,0.92,0.04,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.2,0.8,0.0,-0.25
0.073,0.802,0.126,0.1147
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.1,0.9,0.0,-0.25
0.0,1.0,0.0,0.0
0.174,0.826,0.0,-0.4588
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.8,0.2,0.25
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.959,0.041,0.25
0.043,0.915,0.043,0.0
0.0,0.9,0.1,0.25
0.111,0.889,0.0,-0.25
0.0,0.933,0.067,0.25
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.873,0.127,0.6444
0.0,0.818,0.182,0.25
0.0,1.0,0.0,0.0
0.0,0.875,0.125,0.25
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.778,0.222,0.7906
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.133,0.867,0.0,-0.25
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.714,0.286,0.4588
0.0,0.822,0.178,0.7184
0.0,0.81,0.19,0.7184
0.0,0.818,0.182,0.25
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.946,0.054,0.25
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.154,0.846,0.0,-0.6124
0.0,1.0,0.0,0.0
0.074,0.926,0.0,-0.4588
0.0,0.946,0.054,0.25
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.879,0.121,0.4588
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.864,0.136,0.6124
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.867,0.133,0.25
0.0,1.0,0.0,0.0
0.037,0.815,0.148,0.6124
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.935,0.065,0.25
0.0,1.0,0.0,0.0
0.0,0.846,0.154,0.25
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.846,0.154,0.25
0.083,0.917,0.0,-0.25
0.0,1.0,0.0,0.0
0.167,0.833,0.0,-0.25
