#,Company,Symbol,Weight,Price,Chg,% Chg,Symbol_modified
1,Apple Inc.,AAPL,7.079849,158.10,0.45,(0.28%),AAPL
2,Microsoft Corporation,MSFT,6.187455,277.53,2.30,(0.84%),MSFT
3,Amazon.com Inc.,AMZN,2.628698,98.11,0.87,(0.89%),AMZN
4,NVIDIA Corporation,NVDA,1.962901,267.75,3.65,(1.38%),NVDA
5,Alphabet Inc. Class A,GOOGL,1.835349,102.21,1.18,(1.16%),GOOGL
6,Berkshire Hathaway Inc. Class B,BRK.B,1.637217,303.91,1.59,(0.53%),BRK-B
7,Alphabet Inc. Class C,GOOG,1.609341,102.57,1.21,(1.19%),GOOG
8,Tesla Inc.,TSLA,1.551498,191.95,2.76,(1.46%),TSLA
9,Meta Platforms Inc. Class A,META,1.357818,202.72,2.04,(1.02%),META
10,UnitedHealth Group Incorporated,UNH,1.354177,476.63,4.05,(0.86%),UNH
11,Exxon Mobil Corporation,XOM,1.310336,108.24,1.12,(1.04%),XOM
12,Johnson & Johnson,JNJ,1.205419,152.53,0.71,(0.46%),JNJ
13,JPMorgan Chase & Co.,JPM,1.1335,130.07,1.19,(0.92%),JPM
14,Visa Inc. Class A,V,1.084006,222.42,2.09,(0.95%),V
15,Procter & Gamble Company,PG,1.035544,146.59,0.23,(0.15%),PG
16,Mastercard Incorporated Class A,MA,0.899854,353.80,-0.54,(-0.15%),MA
17,Home Depot Inc.,HD,0.862151,282.29,1.47,(0.52%),HD
18,Chevron Corporation,CVX,0.843466,160.89,1.40,(0.88%),CVX
19,AbbVie Inc.,ABBV,0.837917,159.18,0.93,(0.58%),ABBV
20,Merck & Co. Inc.,MRK,0.815371,106.33,0.80,(0.76%),MRK
21,Eli Lilly and Company,LLY,0.793633,338.54,0.89,(0.26%),LLY
22,Broadcom Inc.,AVGO,0.78782,630.00,5.30,(0.85%),AVGO
23,PepsiCo Inc.,PEP,0.743472,180.47,1.04,(0.58%),PEP
24,Coca-Cola Company,KO,0.718131,61.69,0.27,(0.43%),KO
25,Pfizer Inc.,PFE,0.679003,40.15,0.16,(0.39%),PFE
26,Thermo Fisher Scientific Inc.,TMO,0.662545,577.11,22.88,(4.13%),TMO
27,Costco Wholesale Corporation,COST,0.658206,493.45,6.68,(1.37%),COST
28,Cisco Systems Inc.,CSCO,0.624434,50.52,0.13,(0.26%),CSCO
29,Walmart Inc.,WMT,0.608048,144.20,0.59,(0.41%),WMT
30,McDonald's Corporation,MCD,0.603204,275.30,-0.55,(-0.20%),MCD
31,Bank of America Corp,BAC,0.598037,28.52,0.40,(1.40%),BAC
32,Salesforce Inc.,CRM,0.57522,193.37,1.07,(0.55%),CRM
33,Walt Disney Company,DIS,0.525354,96.22,1.40,(1.47%),DIS
34,Accenture Plc Class A,ACN,0.518869,282.45,7.45,(2.71%),ACN
35,Abbott Laboratories,ABT,0.516311,98.46,1.35,(1.39%),ABT
36,Linde plc,LIN,0.514139,351.00,3.63,(1.05%),LIN
37,Adobe Incorporated,ADBE,0.513773,376.18,2.78,(0.74%),ADBE
38,Danaher Corporation,DHR,0.48884,251.52,4.67,(1.89%),DHR
39,Texas Instruments Incorporated,TXN,0.48243,183.66,6.17,(3.47%),TXN
40,Verizon Communications Inc.,VZ,0.48062,38.36,0.36,(0.94%),VZ
41,Advanced Micro Devices Inc.,AMD,0.468482,95.80,1.24,(1.31%),AMD
42,Comcast Corporation Class A,CMCSA,0.460515,36.47,0.02,(0.05%),CMCSA
43,NextEra Energy Inc.,NEE,0.450863,74.80,-0.45,(-0.59%),NEE
44,NIKE Inc. Class B,NKE,0.441358,119.36,1.49,(1.26%),NKE
45,Netflix Inc.,NFLX,0.438861,326.34,2.82,(0.87%),NFLX
46,Bristol-Myers Squibb Company,BMY,0.435274,68.30,0.10,(0.15%),BMY
47,Philip Morris International Inc.,PM,0.431736,96.33,2.10,(2.23%),PM
48,Wells Fargo & Company,WFC,0.429413,37.77,0.59,(1.58%),WFC
49,Raytheon Technologies Corporation,RTX,0.426975,97.94,1.14,(1.17%),RTX
50,Oracle Corporation,ORCL,0.416643,90.33,0.48,(0.53%),ORCL
51,QUALCOMM Incorporated,QCOM,0.415293,122.68,1.34,(1.10%),QCOM
52,United Parcel Service Inc. Class B,UPS,0.41116,189.00,1.27,(0.68%),UPS
53,AT&T Inc.,T,0.404529,18.80,0.08,(0.40%),T
54,Amgen Inc.,AMGN,0.380221,235.50,-2.98,(-1.25%),AMGN
55,Honeywell International Inc.,HON,0.377755,189.44,1.52,(0.81%),HON
56,Intel Corporation,INTC,0.363062,29.61,0.32,(1.08%),INTC
57,Intuit Inc.,INTU,0.361322,438.00,18.67,(4.45%),INTU
58,ConocoPhillips,COP,0.358801,102.91,4.98,(5.08%),COP
59,Union Pacific Corporation,UNP,0.355592,198.07,1.49,(0.76%),UNP
60,International Business Machines Corporation,IBM,0.351621,129.52,0.18,(0.14%),IBM
61,Lowe's Companies Inc.,LOW,0.346509,191.77,1.62,(0.85%),LOW
62,Caterpillar Inc.,CAT,0.341198,223.13,2.97,(1.35%),CAT
63,Starbucks Corporation,SBUX,0.341025,99.40,0.68,(0.69%),SBUX
64,Boeing Company,BA,0.339215,207.32,2.36,(1.15%),BA
65,Elevance Health Inc.,ELV,0.333261,458.88,0.35,(0.08%),ELV
66,Morgan Stanley,MS,0.332582,86.33,1.45,(1.71%),MS
67,S&P Global Inc.,SPGI,0.332421,327.37,-6.76,(-2.02%),SPGI
68,Prologis Inc.,PLD,0.324468,118.56,1.91,(1.64%),PLD
69,Goldman Sachs Group Inc.,GS,0.324408,322.76,4.32,(1.36%),GS
70,Lockheed Martin Corporation,LMT,0.323481,471.10,-0.34,(-0.07%),LMT
71,Deere & Company,DE,0.319628,392.09,-3.26,(-0.82%),DE
72,Medtronic Plc,MDT,0.318605,78.89,-0.62,(-0.78%),MDT
73,General Electric Company,GE,0.305177,93.75,0.61,(0.65%),GE
74,Applied Materials Inc.,AMAT,0.301403,116.52,0.12,(0.10%),AMAT
75,Gilead Sciences Inc.,GILD,0.298456,81.14,0.17,(0.21%),GILD
76,American Express Company,AXP,0.292736,161.18,1.97,(1.24%),AXP
77,BlackRock Inc.,BLK,0.292482,674.98,28.74,(4.45%),BLK
78,Booking Holdings Inc.,BKNG,0.292171,"2,454.46",-90.70,(-3.56%),BKNG
79,CVS Health Corporation,CVS,0.284126,73.49,0.37,(0.50%),CVS
80,Mondelez International Inc. Class A,MDLZ,0.283631,69.87,0.28,(0.40%),MDLZ
81,Stryker Corporation,SYK,0.282007,254.83,-22.60,(-8.14%),SYK
82,Analog Devices Inc.,ADI,0.28166,188.31,4.71,(2.57%),ADI
83,American Tower Corporation,AMT,0.270042,196.55,3.68,(1.91%),AMT
84,Automatic Data Processing Inc.,ADP,0.267132,220.75,6.60,(3.08%),ADP
85,Intuitive Surgical Inc.,ISRG,0.266164,243.35,-6.14,(-2.46%),ISRG
86,Regeneron Pharmaceuticals Inc.,REGN,0.265251,821.62,-5.35,(-0.65%),REGN
87,ServiceNow Inc.,NOW,0.263333,427.27,-1.81,(-0.42%),NOW
